ID	LABEL	TEXT
0	28	look at queenie
1	27	drop ring
2	25	get pork chops
3	51	x sandstone
4	39	buy ticket
5	27	drop teapot, rose, candy and gold key
6	25	get wrench
7	50	put beam under lintel
8	27	throw box at outcropping
9	46	burn pole with torch
10	30	give rose to knight
11	5	turn on torch
12	25	take astrolabe
13	50	put coin in loans
14	50	put gown on hook
15	14	tie bucket to rope
16	43	ask dragon about jewel
17	25	take packet from pot
18	30	give it to girl
19	51	examine magpie
20	3	write 1 on cube
21	24	wear them
22	50	put pack on gum
23	50	put decaf in pot
24	3	pour water on detective
25	3	unfold leaf
26	40	read spotted scroll
27	24	wear balm
28	51	x hole
29	3	drill safe with drill
30	38	open shark repellent
31	50	put bar in case
32	40	read faded scroll
33	25	take tinsel
34	25	get red sphere
35	2	drink medicine
36	25	get piece
37	27	drop beer can
38	35	hit lamp
39	25	get rods from sack
40	32	turn newel
41	25	get string
42	30	give $56
43	25	get microphone
44	25	get opal
45	27	push lever
46	3	exit shack
47	25	take zm$100000
48	50	put ladder under tree
49	50	put rag in pot
50	3	point east
51	25	take sapphire
52	26	remove padlock
53	38	open trunk
54	38	open telescope
55	16	ask hacker for master key
56	14	join golden rod to green rod
57	25	get coffin
58	25	take lemming
59	50	put toy in pot
60	27	pull cord
61	51	examine teachers
62	3	unlock door with iron key
63	27	pull branch
64	3	wind watch
65	27	drop eggs
66	14	mount horse
67	8	break wall
68	27	lift grate
69	3	note dryer
70	14	tie chain to me
71	37	squeeze flower
72	50	insert yellow card in slot
73	25	get garter
74	51	examine chair
75	3	look up yetzuiz in fresto
76	44	show hand to urchin
77	27	throw rope north
78	27	drop crampons
79	22	drive to buckingham palace
80	25	take silver
81	27	throw laser into void
82	51	x transmit stud
83	25	take red flag
84	43	ask delbin about minirva
85	25	get electromagnet
86	25	get gloves and crowbar
87	25	get bones with chopsticks
88	38	open flask
89	51	examine thyme
90	43	ask charles about chest
91	34	sit on green rock
92	25	take rune
93	49	cut line with dagger
94	33	learn blorple
95	41	hit lamp
96	25	get particule
97	25	take bronze coin from left pan
98	25	get brain
99	3	focus slide lens
100	27	drop crayon and pacquet
101	28	look into cage
102	50	put gold in slot
103	27	push piano north
104	27	drop plug
105	27	drop brass key
106	25	take vase
107	25	take mask
108	51	x computers
109	42	roll statue nw
110	25	get nasty knife
111	3	tip boot
112	50	put pan in water
113	38	open receptacle
114	18	city
115	3	unlock chain with keys
116	28	look in zipper
117	50	insert oar in oarlock
118	51	x chandelier
119	51	x pile
120	51	x juke
121	27	move bench
122	45	mouse, south
123	27	drop paper
124	50	put cave cube in bottom right socket
125	3	yonk malyon spell
126	3	stand on beam
127	36	get out of boat
128	45	go panel
129	50	put butter in pot
130	43	ask female about bar
131	9	rock, n
132	38	open window with wrench
133	25	get c battery
134	25	take card
135	51	x dusty brick
136	3	set radio to 1170
137	25	take glasses
138	51	examine satellite
139	3	unlock it with gothic key
140	51	examine pedestal
141	50	put card in slot
142	40	read opal scratch with glass
143	28	l in hatch
144	50	put dornberries in pot
145	38	open oven
146	40	read killing
147	27	move desk
148	27	drop candle
149	37	touch obelisk
150	51	x window
151	51	examine pedlar
152	25	get clear sphere
153	51	x control
154	50	put gold in toolkit
155	25	get hand
156	34	sit on chair
157	51	examine skeleton
158	3	point wand at menhir
159	28	l in cabinet
160	51	x bag
161	30	give garnet to akbar
162	25	get cloth
163	5	turn on floyd
164	32	turn valve with crowbar
165	27	drop multi
166	51	x mural
167	25	get spray
168	51	x lever
169	43	ask k9 about k9
170	5	turn radio off
171	27	push ball southwest
172	3	pour wine in green goblet
173	45	left
174	25	get husbandry
175	50	put match in wax
176	51	x dresser
177	51	x bed
178	32	turn dial
179	25	take pigeon
180	27	drop bread
181	3	unlock car
182	50	put bauble in case
183	33	learn gloth
184	51	x leaf
185	25	take no tea
186	27	push pet
187	25	take all from toolshed
188	40	read moldy book
189	31	search grate
190	25	get canteen
191	43	ask about evidence
192	33	learn melbor
193	3	gnusto malyon spell
194	3	get in forklift
195	48	talk to queenie
196	27	push boulder
197	25	get suit
198	50	put book in large recess
199	27	pull slide
200	50	put rods in coffin
201	50	insert slide in it
202	26	remove fifth brick
203	28	look under loudspeaker
204	17	jump onto riser
205	38	open lid with spade
206	3	gnusto meef spell
207	32	turn it on
208	32	turn it right 5
209	51	examine pram
210	25	get pendant
211	25	get eight of wands
212	25	take gold box
213	50	put golden chalice in knapsack
214	51	x fungus
215	3	set left dial to 7
216	9	rock, e
217	51	x pair
218	51	examine headphones
219	27	drop stand
220	50	insert red card in slot
221	25	get orb
222	50	put stone in fire
223	40	read sign
224	43	ask barman about job
225	25	take cube
226	3	liskon snake
227	50	put silver coin on left
228	51	examine table
229	27	pull dial
230	38	open crypt
231	25	take red rod
232	30	give gold locket to creature
233	3	caskly moldy book
234	27	push left button
235	50	jam branch under plate
236	25	take thumb
237	44	show it to holmes
238	3	enter door
239	3	rezrov box
240	51	x attendant
241	25	get treasure
242	25	get jewelry
243	25	get homing
244	25	take ebony
245	50	put torch in case
246	24	wear goggles
247	25	take mousetrap
248	38	open desk
249	3	set right dial to 4
250	25	get gas
251	51	examine stamps
252	41	hit dragon with sword
253	27	drop bees
254	3	blow dust
255	25	get x12
256	27	drop shovel
257	25	get drawing paper
258	27	drop grater
259	27	drop gloves
260	27	drop all but flashlight
261	3	gnusto wigro
262	50	put mace cube in top right socket
263	27	drop yo-yo
264	27	drop myrrh
265	40	read parchment
266	51	x whiteboard
267	49	chop tree
268	25	take capsule
269	25	get x3, x4, x5, x6
270	50	put fluff in bag
271	51	x stranger
272	17	jump to roof
273	42	turn wheel right
274	27	drop painting
275	3	unlock door with brass key
276	27	drop calendar
277	37	touch control stud
278	46	burn string
279	3	point it at lemniscus
280	51	x metal thing
281	27	pull pipe
282	51	examine dial
283	40	read sports in newspaper
284	2	eat brown goo
285	25	get shredded scroll
286	25	get sharp stone
287	45	in
288	38	open toolkit
289	38	open safe
290	27	drop dusty brick
291	52	shoot thad
292	25	take plank
293	27	move handle
294	25	get dead mouse
295	27	drop flat key
296	28	l in box
297	25	get sphere
298	30	give bananas
299	34	sit on dragon
300	39	buy drink
301	51	x rock
302	6	say my name
303	27	press bottom
304	32	turn knob to high
305	25	get buoy
306	50	put umbrella on pool
307	49	chop ice with axe
308	3	unwrap parcel
309	25	get green
310	25	take dodo
311	25	get blue sphere
312	27	drop rune
313	43	ask male about invitation
314	3	taclor me
315	43	ask k9 about reactor
316	3	lock door with key
317	45	n
318	25	take silver coin
319	43	ask allarah about jewel
320	25	get all but dagger
321	51	x farm
322	3	close roof
323	30	give lens to norbert
324	28	look under sill
325	25	get wine
326	25	get clothes
327	38	open locket
328	51	x door
329	25	get candle
330	40	read ripped
331	39	buy box
332	25	get letter opener
333	25	take ledger
334	50	put card in pocket
335	25	get pickaxe
336	50	put scraps in forge
337	3	steer towards rocky spire
338	0	fill it with water
339	6	exodus
340	27	drop bench
341	3	malyon idol
342	27	drop telescope
343	37	rub oil on mirror 1
344	25	take keys with pole
345	51	x carpark
346	25	get brass key
347	43	ask hermit about entrance
348	25	take headdress
349	26	remove goggles
350	27	drop journal and key
351	3	frotz book
352	25	take parka
353	50	put amber in socket
354	22	drive to covent garden
355	33	learn zifmia
356	11	pray
357	51	x fountain
358	40	read waxy scroll
359	25	get out
360	51	x stairs
361	51	x opener
362	3	pour milk in cauldron
363	27	press down
364	50	put emerald in green boot
365	50	put green sphere in pot
366	50	put dagger in chest
367	37	touch blue
368	27	drop wrench
369	3	gnusto vaxum spell
370	3	kick second window
371	28	look in it
372	39	buy candy from hawker
373	25	take 1
374	5	turn off torch
375	24	wear clothes
376	25	get lamp and sword
377	27	push wand
378	27	pull torch
379	27	drop bladder
380	45	go to gnome
381	27	drop emerald
382	25	take burin
383	27	drop cork
384	32	turn dial to 47
385	50	put ruby cluster in knapsack
386	51	x flowers
387	3	rezrov door
388	24	wear tourniquet
389	50	put fig in urn
390	17	climb up piano
391	25	take vial
392	25	take balloon
393	3	draw line from f to p
394	43	ask bum about himself
395	25	get teddy
396	40	read it
397	3	launch command
398	25	take section
399	25	get ace
400	25	get red statuette
401	27	move wardrobe
402	3	surf the net
403	50	put skink in cauldron
404	25	take book
405	25	take veil
406	27	press 0
407	38	open jewellery box
408	25	get bucket
409	27	push play
410	3	plug in television
411	28	look in crypt
412	25	take amethysts
413	25	take mud
414	51	examine lump
415	18	satchel
416	27	drop canteen and shuttle card
417	43	ask hacker about keys
418	38	open hatch
419	17	climb idol
420	25	get rod of life
421	43	ask woman about ruby
422	41	hit box
423	2	eat blue cake
424	25	get figure
425	51	x card
426	43	ask barkeep about thad
427	3	write prize on featureless
428	27	drop suit
