0	41	mouse, west
1	60	jump to brown rock
2	18	bozbar horse
3	77	examine goblin
4	32	take tea
5	70	put ticket in slot
6	32	take shield
7	53	show ring to michael
8	15	put bronze on left
9	63	touch control stud
10	77	examine statues
11	83	drink water
12	12	push green button
13	32	get sprig
14	52	drop food
15	17	turn on lantern
16	12	push piano south
17	82	give carton to hacker
18	23	open handbag
19	3	look at shape
20	52	drop mine
21	32	get canary
22	52	drop shiny key
23	52	drop third brick
24	64	tie tinsel to coin
25	52	drop pigeon
26	12	push right button
27	12	push yellow
28	32	take brown rod
29	43	read prayer
30	64	tie rope to rod
31	82	give teddy to woman
32	32	get worm
33	15	put sphere on pentagram
34	77	x magazines
35	32	get rusty key
36	82	give cola to britney
37	32	get weeds with fork
38	70	put cave cube in bottom right socket
39	82	dragon, give ring to me
40	59	say boo
41	23	open blue box
42	82	give gram to ed
43	82	give jewels to guard
44	59	echo
45	77	examine ball
46	32	get miniaturization card
47	35	search garbage
48	12	push play
49	52	drop padlock
50	23	open tin
51	15	put flask under spout
52	82	give note to man
53	32	take dornberries
54	77	x sydney
55	27	talk to sleaze
56	25	ask morgan about dragon
57	32	take stopper
58	25	ask bum about anna
59	53	show crossbow to dragon
60	32	take dish
61	56	throw club at aquarium
62	70	put white in unit
63	70	put peg in hole
64	3	look behind painting
65	52	drop silver
66	32	take all
67	18	mix cauldron with spoon
68	4	set thermostat to warm
69	55	light salt with bug
70	77	x coffee
71	52	drop small key
72	28	slide k
73	3	look up
74	31	dungeon master, turn dial to 8 and press button
75	24	press east wall
76	37	remove brick with crowbar
77	32	get key, jewels and whistle
78	77	x officer
79	25	ask gnome about page
80	17	turn on lamp
81	32	get coin
82	10	rub locket
83	18	bunyon
84	32	get silver
85	32	get shimmering scroll
86	77	x kettle
87	21	wear fur
88	82	give fragment to green rock
89	52	drop package
90	32	get egg
91	47	enter
92	77	x female
93	70	put small plug in plotter
94	35	search slabs
95	37	remove new brick with crowbar
96	24	press black
97	23	open lab door
98	32	take pigeon
99	77	examine rolls
100	24	press brown button
101	3	look in pit
102	23	open shark repellent
103	70	put all in zipper except book
104	23	open pouch
105	23	open secret panel
106	52	drop bowl
107	32	get crow
108	32	take no tea
109	77	examine sundial
