ID	LABEL	TEXT
0	take.v.04	take all
1	take.v.04	take 7
2	examine.v.02	x hole
3	search.v.04	search furniture
4	remove.v.01	remove mask
5	drop.v.01	drop banana
6	take.v.04	take bucket
7	drop.v.01	drop wig
8	open.v.01	open office door
9	unknown	yonk malyon spell
10	examine.v.02	examine cups
11	open.v.01	open white door
12	take.v.04	take stopper
13	take.v.04	get porridge oats
14	examine.v.02	x terrock
15	give.v.03	give celery to barb
16	drop.v.01	drop chair
17	take.v.04	take ribbon
18	take.v.04	get short poem
19	ask.v.01	ask her about rare books
20	insert.v.02	put whistle in pot
21	insert.v.02	put pan in oven
22	take.v.04	take balsa beam
23	take.v.04	get fire
24	push.v.01	push west wall
25	drop.v.01	drop map
26	give.v.03	give opal, ruby, sapphire and emerald to guard
27	examine.v.02	examine remote control
28	drop.v.01	drop fruit
29	examine.v.02	x key
30	insert.v.02	put it in bag
31	turn.v.09	turn ring
32	open.v.01	open flask
33	unknown	tossio golem
34	examine.v.02	examine red statuette
35	close.v.01	close furnace
36	say.v.08	say agamemnon
37	take.v.04	get album
38	insert.v.02	put new battery in torch
39	ask.v.01	ask george about frank
40	unknown	frotz coin
41	close.v.01	shut panel
42	take.v.04	take robe
43	put.v.01	put timber across chute
44	look.v.01	look up
45	climb.v.01	climb piano
46	drop.v.01	drop parchment
47	examine.v.02	x bulbs
48	drop.v.01	drop all except radio
49	drop.v.01	drop all but pincer
50	connect.v.01	tie rope to k9
51	travel.v.01	go under wall
52	take.v.04	take lantern
53	fill.v.01	fill hat with water
54	insert.v.02	put skink in cauldron
55	dig.v.01	dig ground
56	take.v.04	take sticker
57	light_up.v.05	light candles with match
58	examine.v.02	x guard
59	open.v.01	open locket
60	show.v.01	show can to pet
61	take.v.04	get eggs
62	give.v.03	give gram to andrea
63	take.v.04	get staff
64	drop.v.01	drop cardboardbox
65	show.v.01	show box to guard
66	set.v.05	set fourth wheel to 9
67	take.v.04	get corn
68	pull.v.04	pull anchor
69	throw.v.01	throw bricks
70	drop.v.01	drop bucket
71	drop.v.01	drop stick
72	take.v.04	take lump
73	take.v.04	get horn
74	drop.v.01	drop crumpled
75	raise.v.02	raise short pole
76	close.v.01	close outer door
77	give.v.03	give jewels to guard
78	open.v.01	open lab uniform
79	insert.v.02	put opal cluster in knapsack
80	sleep.v.01	sleep
81	unknown	swing rope
82	take.v.04	get sketch
83	turn.v.09	turn ring to second symbol
84	write.v.07	write 10 on cube
85	close.v.01	close outer
86	move.v.02	move wardrobe
87	take.v.04	get matches
88	ask.v.01	ask pitchman about dr nostrum
89	switch_on.v.01	turn on computestor
90	turn.v.09	turn neith
91	skid.v.04	slide k
92	remove.v.01	remove glasses
93	connect.v.01	tie rope to altar
94	examine.v.02	x transmit stud
95	put.v.01	put house on triangle
96	put.v.01	put red flag on spotted
97	take.v.04	get tube
98	look.v.01	look through astrolabe
99	unknown	play arcade
100	wake_up.v.02	wake homer
101	say.v.08	blizzard
102	shoot.v.01	shoot prey
103	set.v.05	set left dial to 7
104	examine.v.02	examine barrels
105	put.v.01	put mat under door
106	jump.v.01	jump to beanstalk
107	insert.v.02	put ring, book in sack
108	brandish.v.01	wave wand at underwear
109	unknown	gnusto luncho
110	push.v.01	push demeter southwest
111	take.v.04	get screwdriver
112	put.v.01	put skull on statue
113	drop.v.01	drop aqua vial
114	examine.v.02	x treant
115	shake.v.01	sharpen knife on rock
116	say.v.08	say ialdabaoloth
117	break.v.05	break seal with pickaxe
118	move.v.02	move rug
119	fill.v.01	fill it with water
120	brandish.v.01	wave it
121	answer.v.01	reply
122	examine.v.02	examine ash
123	insert.v.02	put match in raincoat
124	shake.v.01	shake pan
125	unlock.v.01	unlock chest
126	show.v.01	show star crystal to trent
127	take.v.04	get rod of life
128	examine.v.02	x metal thing
129	search.v.04	search bones
130	take.v.04	get flash
131	drop.v.01	drop spices
132	drop.v.01	drop mine
133	take.v.04	take wire
134	turn.v.09	turn dial right
135	open.v.01	open west door
136	push.v.01	push demeter northwest
137	take.v.04	take vial
138	examine.v.02	examine white  statuette
139	pour.v.01	pour hot porridge in gigantic bowl
140	remove.v.01	remove watch
141	take.v.04	get lump
142	take.v.04	get magazine
143	unknown	exex turtle
144	drop.v.01	drop teapot, rose, candy and gold key
145	press.v.01	press forcefield
146	examine.v.02	examine box
147	press.v.01	press down button
148	examine.v.02	examine cage
149	ask.v.01	ask him about librarian
150	look.v.01	look at queenie
151	take.v.04	take pan
152	ask.v.01	ask man about hammer
153	skid.v.04	slide upper card through slot
154	consult.v.02	look up 1420 in map
155	examine.v.02	x rock
156	give.v.03	give gram to danielle
157	take.v.04	get fish
158	take.v.04	take white scroll
159	take.v.04	take mask
160	dig.v.01	dig in ground
161	look.v.01	look at screen
162	read.v.01	read gray scroll
163	show.v.01	show ribbon to chuckles
164	open.v.01	open outer door
165	switch_on.v.01	turn on stove
166	unknown	gnusto gondar spell
167	read.v.01	read pages
168	examine.v.02	examine sheets
169	take.v.04	get coffin
170	examine.v.02	examine electrodes
171	wear.v.02	wear sack
172	open.v.01	open stone door
173	take.v.04	take rag
174	insert.v.02	put rasp into thing
175	remove.v.01	remove hood
176	unknown	gnusto gaspar spell
177	look.v.01	l up terrock in leshosh
178	open.v.01	open dresser
179	put.v.01	put gold coin on right
180	travel.v.01	go north
181	drop.v.01	drop walkie
182	take.v.04	take coin from basis
183	press.v.01	press techno
184	skid.v.04	slide i
185	rub.v.01	rub locket
186	examine.v.02	examine it
187	insert.v.02	put branch in pit
188	examine.v.02	examine emerald
189	push.v.01	push bed
190	drink.v.01	drink water
191	push.v.01	push red button
192	search.v.04	search thicket
193	examine.v.02	examine crabs
194	ask.v.01	ask trent about elizabeth
195	open.v.01	open tarot box
196	examine.v.02	x plants
197	light_up.v.05	light torch
198	travel.v.01	se
199	insert.v.02	put trophy in depression
200	examine.v.02	examine compressor
201	take.v.04	get pork chops
202	wear.v.02	wear cloak
203	take.v.04	take grenade
204	take.v.04	get bottle
205	insert.v.02	put all in fireplace
206	look.v.01	look shelf
207	insert.v.02	put ticket in slot
208	examine.v.02	x opener
209	take.v.04	take fragment from zipper
210	drop.v.01	drop ox
211	take.v.04	get amber
212	read.v.01	read brittle scroll
213	fill.v.01	fill tank
214	wear.v.02	wear air tank
215	open.v.01	open car
216	take.v.04	take gores
217	take.v.04	get bees
218	examine.v.02	examine model
219	remove.v.01	remove goggles
220	raise.v.02	robot, lift cage
221	drop.v.01	drop food
222	take.v.04	get coins
223	remove.v.01	remove tank
224	show.v.01	show green to trent
225	insert.v.02	put it in cannon
226	memorize.v.01	learn girgol
227	choose.v.01	4
228	take.v.04	get beer
229	look.v.01	look in cabinet
230	write.v.07	write 3 on cube
231	press.v.01	press island
232	unknown	gnusto krebf spell
233	take.v.04	take dino
234	push.v.01	push button 3
235	drop.v.01	drop stand
236	play.v.03	play organ
237	burn.v.01	burn pole with torch
238	insert.v.02	put egg in pan
239	unlock.v.01	unlock wardrobe with key
240	examine.v.02	examine axe
241	cut.v.01	cut line with axe
242	cut.v.01	cut branch with knife
243	examine.v.02	x tray
244	unknown	frotz candle
245	show.v.01	show invitation to butler
246	wear.v.02	wear pendant
247	read.v.01	read plaque
248	drop.v.01	drop wrench
249	take.v.04	take flimsy scroll
250	push.v.01	push right button
251	insert.v.02	put astrolabe in mounting
252	take.v.04	take bread from zipper
253	insert.v.02	put sceptre in second socket
254	buy.v.01	buy drink
255	remove.v.01	remove hat
256	examine.v.02	x counter
257	set.v.05	set center dial to 3
258	read.v.01	read poetry
259	open.v.01	open aqua vial
260	examine.v.02	examine fence
261	stand.v.03	stand on bench
262	write.v.07	write 9 on cube
263	take.v.04	get wig
264	drop.v.01	drop mirror
265	sit_down.v.01	sit on dragon
266	insert.v.02	put cereal in pot
267	wear.v.02	wear ring
268	take.v.04	get awl
269	examine.v.02	x dent
270	insert.v.02	put honey in cauldron
271	take.v.04	get poe
272	search.v.04	search mess
273	take.v.04	get etching
274	take.v.04	get chisel
275	ask.v.01	ask man about eranti
276	read.v.01	read spreadsheet
277	unknown	gnoeval
278	unknown	blorple 8
279	drop.v.01	drop bowl
280	examine.v.02	x desk
281	push.v.01	push autopilot button
282	take.v.04	get flippers
283	examine.v.02	x white pillar
284	break.v.05	break bubble with axe
285	insert.v.02	put stone in opening
286	look.v.01	look under seat
287	push.v.01	push lever
288	pull.v.04	pull second peg
289	read.v.01	read label
290	open.v.01	open coffin
291	light_up.v.05	light firework
292	take.v.04	take x1,x2,x7,x8
293	take.v.04	get string
294	take.v.04	take bag
295	drop.v.01	drop lantern
296	take.v.04	get teddy
297	insert.v.02	put blue sphere in sapphire stand
298	close.v.01	close tray
299	lie_down.v.01	lie in tiny little bed
300	examine.v.02	x brick
301	unknown	rewind tape
302	take.v.04	take amethysts
303	say.v.08	tell gnome about grunk
304	climb.v.01	climb on table
305	insert.v.02	put gray rod in pot
306	close.v.01	close zipper
307	read.v.01	read dirty scroll
308	smash.v.02	smash case with broom
309	turn.v.09	turn dial left 4
310	open.v.01	open green bottle
311	wear.v.02	wear it
312	wait.v.01	wait for 36 hours
313	open.v.01	open jewellery box
314	take.v.04	get bar
315	insert.v.02	put canary in case
316	unknown	tinsot channel
317	take.v.04	get grater
318	take.v.04	get all
319	open.v.01	open shield
320	drop.v.01	drop dumbells
321	answer.v.01	y
322	examine.v.02	x blade
323	throw.v.01	throw rope north
324	give.v.03	give bell
325	show.v.01	show pole to gnome
326	unlock.v.01	unlock door
327	examine.v.02	examine diagram
328	take.v.04	get red card
329	take.v.04	get candy
330	put.v.01	put eight on pack
331	remove.v.01	remove old battery
332	take.v.04	take lemming
333	open.v.01	open brown bottle
334	unknown	ozmoo myself
335	take.v.04	get star
336	drop.v.01	drop crown, stamp, zorkmid and ruby
337	remove.v.01	remove balls
338	consult.v.02	look up partaim in fresto
339	insert.v.02	put packet in pan
340	read.v.01	read scriptures
341	travel.v.01	ahead
342	hit.v.03	hit icicle with umbrella
343	take.v.04	take all but lantern
344	insert.v.02	put all in thing
345	drink.v.01	drink drink
346	travel.v.01	out
347	enter.v.01	get in basket
348	drop.v.01	drop clock
349	drop.v.01	drop cloth
350	examine.v.02	x kettle
351	take.v.04	get match
352	take.v.04	get coal
353	drop.v.01	drop shawm
354	take.v.04	get rasp
355	open.v.01	adventurer, open door
356	switch_on.v.01	turn on drive
357	insert.v.02	put celery in purse
358	drop.v.01	drop drive
359	examine.v.02	x city
360	take.v.04	get ekmek
361	eat.v.01	eat bread
362	examine.v.02	examine chasm
363	charge.v.17	point at vodka
364	examine.v.02	x figure
365	open.v.01	open zipper
366	read.v.01	read killing
367	take.v.04	take hairpin
368	press.v.01	press channel
369	examine.v.02	x patch
370	turn.v.09	turn wireless on
371	open.v.01	open locker
372	take.v.04	get rod of ice
373	take.v.04	take club
374	take.v.04	get timber
375	throw.v.01	throw stone at thing
376	take.v.04	get map
377	consult.v.02	look up mordecai in record
378	take.v.04	take volcano
379	push.v.01	push button 9
380	show.v.01	show term paper to frobar
381	drop.v.01	drop pan
382	insert.v.01	insert shiny board in panel
383	push.v.01	push button 7
384	jump.v.01	jump onto riser
385	ask.v.02	ask for pigeon
386	hit.v.03	hit comb
387	take.v.04	get aqua vial
388	close.v.01	close lid
389	insert.v.02	put butter in pot
390	eat.v.01	eat bar
391	pull.v.04	pull branch
392	read.v.01	read note
393	take.v.04	get coat
394	enter.v.01	enter stall
395	look.v.01	look at shape
396	take.v.04	get volume
397	drop.v.01	drop all except 10, book
398	brandish.v.01	wave pole
399	examine.v.02	x switch
400	wear.v.02	wear hat
401	take_off.v.06	take off gown
402	examine.v.02	examine missile
403	unknown	blorple 2
404	drop.v.01	drop chain
405	insert.v.02	put all in pocket
406	take.v.04	get mug
407	examine.v.02	x vent
408	ask.v.02	ask cheryl for hologram
409	memorize.v.01	learn bozbar
410	take_off.v.06	take off jacket
411	insert.v.02	put lemming in cage
412	give.v.03	give paper to professor
413	take.v.04	get blueprint
414	connect.v.01	tie chest to rope
415	turn.v.09	turn m
416	open.v.01	open mailbox
417	insert.v.02	put ebony in eastern niche
418	wear.v.02	wear dress
419	take.v.04	get improbability drive
420	insert.v.02	put ball in machine
421	take.v.04	get emerald
422	examine.v.02	examine output
423	break.v.05	break branch
424	memorize.v.01	learn blorb
425	take.v.04	get passbook and room key
426	examine.v.02	x card
427	take.v.04	get silver chalice
428	ask.v.01	ask dragon about black
429	search.v.04	search clothes
430	take.v.04	get coin
431	open.v.01	open lamp
432	unknown	frotz burin
433	drop.v.01	drop bag
434	switch_on.v.01	turn radio on
435	take.v.04	take shaft
436	turn.v.09	turn ring to sixth symbol
437	examine.v.02	examine cottage
438	throw.v.01	throw laser into void
439	ask.v.01	ask charles about chest
