ID	LABEL	TEXT
0	0	examine bandage
1	0	beetlebaum
2	0	drop gores
3	0	examine chair
4	0	put book in large recess
5	0	open pram
6	0	break frame
7	0	drop matchbook
8	0	ask angela about affliction
9	0	x servers
10	0	swing rope
11	0	x contact points
12	0	shoot video
13	0	unplug coaxial cable
14	0	drink medicine
15	0	take flour
16	0	look in overalls
17	0	drop knapsack
18	0	get star
19	0	x bed
20	0	push pram e
21	0	get red statuette
22	0	rock, n
23	0	drop ticket
24	0	take gumball
25	0	sit on chair
26	0	drop teapot
27	0	shake safe
28	0	ask marion about encyclopedia
29	0	ask fairy godmother about cinderella
30	0	put laudanum in blue goblet
31	0	put bauble in case
32	0	get firewood
33	1	robot, north and press triangular button
34	0	set fifth wheel to 3
35	1	rimshaw, hypnotise me
36	0	drop trap
37	0	fill milkbottle with pondwater
38	0	sit down
39	0	give card to alan
40	0	unlock crypt
41	0	get dagger
42	0	set thermostat to warm
43	0	insert film in film projector
44	0	give gold locket to creature
45	0	examine dusty book
46	0	ask belboz about me
47	0	put raisins on celery
48	0	look up yetzuiz in fresto
49	0	drop ladder
50	0	get mousetrap
51	0	get off carpet
52	0	take skink
53	0	fee
54	0	untie balloon
55	0	learn bekdab
56	0	move handle
57	0	gnoeval
58	0	knock on door
59	1	marvin, open the hatch
60	0	search grate
61	0	get vial
62	0	put maiden in projector
63	0	drop garlic
64	0	wear suit
65	0	show red to trent
66	0	attack thief with nasty knife
67	0	put bit in tea
68	0	light candle
69	0	fill canteen
70	0	southwest
71	0	take lemming
72	0	hang it on hooks
73	0	look at furnace
74	0	fill tank with air
75	0	get teddy
76	0	x sign
77	0	unscrew gnomon
78	0	examine tomb
79	0	put it in hat
80	0	give gram to jim
81	0	press 0
82	0	untie rope
83	0	pull lining
84	0	throw club at belt
85	0	light torch with newspaper
86	0	get candy
87	0	x soft things
88	0	point it at metal
89	0	x pass
90	0	probe contacts
91	0	put gum on stick
92	0	join golden rod to brown rod
93	0	look up edward in record
94	0	norbert
95	0	put it on yellowed paper
96	0	drop toupee
97	0	lift seat
98	0	move wardrobe
99	0	drop padlock
100	0	move carpet
101	0	blorple 4
102	0	x books
103	0	note tables
104	0	candles
105	0	buy c battery and putty
106	0	wear hat
107	0	x cutout
108	0	examine tombs
109	0	take erbium
110	0	read journal
111	0	get candy and gold key
112	0	put strength in right socket
113	0	close jar
114	0	close panel
115	0	wear balm
116	0	slide c
117	0	push switch
118	0	read stained scroll
119	0	northeast
120	0	take no tea
121	0	put headdress in pot
122	0	get popcorn
123	0	drive to the monument
124	0	drop them
125	0	show star crystal to trent
126	0	get clover
127	0	cover hole 6
128	0	shake pan
129	0	open slot
130	0	get invitation
131	0	bandage arm with rags
132	0	note stools
133	0	open lab uniform
134	0	unlock cage
135	0	talk to reunite
136	0	x transmit stud
137	0	drop gigantic bowl
138	0	gnusto exex spell
139	0	push purple
140	0	x boat
141	0	push red button
142	0	enter cab
143	0	move slab
144	0	aragon
145	0	tie chain to rod
146	0	put flour in pan
147	0	get torn square
148	0	wear coat
149	0	take off veil
150	0	read list
151	0	get lye
152	0	press down button
153	0	dig in tub
154	0	order drink
155	0	play accordion
156	0	get brown
157	0	put wheel on peg
158	0	open curtains
159	0	drop journal and key
160	0	ask dragon about black
161	0	open chest with needle
162	0	strike rod of luck
163	0	give fluff to arthur
164	0	throw plank
165	0	x jail
166	0	wear pendant
167	0	press green button
168	0	take cube
169	0	learn gloth
170	0	attack crulley
171	0	read missive
172	1	jill, hold me
173	0	open it
174	0	3
175	0	get moss
176	0	read old book
177	0	go ledge
178	0	examine coconuts
179	0	put emerald in green boot
180	0	touch obelisk
181	0	read crumpled
182	0	x magazines
183	0	look up trophy in history book
184	0	x guard
185	0	light newspaper with pipe
186	0	put blue in glasses
187	0	put sheet in tray
188	0	aft
189	0	get label
190	0	read opal scratch with glass
191	0	get shuttle card
192	0	remove hood
193	0	get spindle
194	0	look in crypt
195	0	push yellow button
196	0	give rag to skier
197	0	put jar in purse
198	0	drop all but candle
199	0	search mess
200	0	put towel on your head
201	0	press green
202	0	examine table
203	0	get all from table
204	0	get gigantic bowl
205	0	read lettering
206	0	take bean pole
207	0	take boots
208	0	pour fluid in hole
209	0	x copier
210	0	pull anchor
211	0	put brass key on keyring
212	0	get sharp stone
213	0	wear razor
214	0	open tapestry
215	0	enter shack
216	0	spells
217	0	wear shirt
218	0	search sludge
219	0	get nasty knife
220	0	press start
221	0	burn paper
222	0	lock it with padlock
223	0	eat beef
224	0	x sheet
225	0	ask female about bar
226	0	put black rod in hole
227	0	smell it
228	0	echo
229	0	gnusto caskly
230	0	take club
231	0	x drain
232	0	enter cloud
233	0	get mirror 1
234	0	x shaman
235	0	squeeze flower
236	0	get secateurs
237	0	ledak painting
238	0	get ace
239	0	look at shape
240	0	touch table
241	0	unfold leaf
242	0	put scarab in small recess
243	0	put skull on statue
244	0	x chandelier
245	0	slide upper card through slot
246	0	climb down
247	0	search guard
248	0	join red rod to silver rod
249	0	urbzig mace
250	0	take dirty scroll
251	0	get vellum scroll
252	0	slide n
253	0	manaz
254	0	turn off lantern
255	0	nitfol turtle
256	0	take flimsy scroll
257	0	give encyclopedia to marion
258	0	x barkeep
259	0	click on paper
260	0	blorple 10
261	0	examine gnomon
262	0	drop rug
263	0	drop cutter, flask and axe
264	0	download video
265	0	show case to jenny
266	0	get amber
267	0	throck shrub
268	0	click on edit
269	0	climb up piano
270	0	put knife in zipper
271	0	learn zemdor
272	0	put paper in pocket
273	0	put paper in receptacle
274	0	take beam from southern niche
275	0	set fourth wheel to 9
276	0	get keys
277	0	turn on drive
278	0	put bomb in sewer
279	0	examine wand
280	0	frotz temple
281	0	plug in television
282	0	follow gnome
283	0	inventory
284	0	get hydrant
285	0	swanzo belboz
286	0	put carton in oven
287	0	dig ground
288	0	put large key on keyring
289	0	unlock drawer
290	0	rub oil on mirror 1
291	0	tie rope to k9
292	0	drop dragon and paper
293	0	close torch
294	0	learn ledak
295	0	ask pedlar about suitcase
296	0	snavig grouper
297	0	say time
298	0	put lye on moss
299	0	bathe
300	0	wave beads
301	0	take pig
302	0	take green sphere
303	0	get slip of paper
304	0	take hamburger
305	0	examine pigeons
306	0	show mouse to elephant
307	0	strike rod of husbandry
308	0	open flask
309	0	wear wet suit
310	0	search gnome
311	0	pick up cube
312	0	open canteen
313	0	walk 4 paces west
314	0	throw red at smoke
315	0	drop robe in shaft
316	0	give ticket 5802 to barker
317	0	x it
318	0	water bean
319	0	tie chest to rope
320	0	examine thumb
321	0	take zm$100000
322	0	get blueprint
323	0	put laudanum on pork
324	0	x cup
325	0	slide s
326	0	turn off electricity
327	0	put printer on table
328	0	malyon dragon
329	0	take section
330	0	drop umbrella
331	0	search snow
332	0	search straw
333	0	put screwdriver in basket
334	0	show brick to pig
335	0	roll statue se
336	0	x k9
337	0	blow in tube
338	0	take lump
339	0	read pages
340	0	catch mouse with bucket
341	0	open floyd
342	0	search seat
343	0	put match in toolkit
344	0	cut line with dagger
345	0	remove plug
346	0	get paddle
347	0	take feather
348	0	drop secateurs
349	0	x wallet
350	0	gnusto fiznav
351	0	x sydney
352	0	drop flashlight
353	0	examine light
354	0	x windy tunnel
355	0	drop package
356	0	put glob on case
357	0	x skeleton
358	0	open green bottle
359	0	put sugar in pan
360	0	examine wardrobe
361	0	put sketch in projector
362	0	get antimacassar
363	0	get black scroll
364	0	turn it left 7
365	0	get safe
366	0	turn off flashlight
367	0	get rod of life
368	0	get egg
369	0	eat food
370	0	ask skier about scroll
371	0	open carton
372	0	close matchbook
373	0	take key from zipper
374	0	x blade
375	0	drop radio
376	0	insert indigo card in slot
377	0	eat blue cake
378	0	wave at crowd
379	0	learn liskon
380	0	examine goblin
381	0	examine washing machine
382	0	wear tourniquet
383	0	put moss in nest
384	0	put timber across chute
385	0	get skis
386	0	x curtain
387	0	take sketch
388	0	point machine at tree
389	0	set radio to 1170
390	0	get epic poem
391	0	get husbandry
392	0	tear cloth
393	0	x hat
394	0	play arcade
395	0	put homing in hatch
396	0	tear it
397	0	give pork chops to wolf
398	0	put blanket on grue
399	0	get lamp, glass and ampoule
400	0	touch orange
401	0	put long steel key on keyring
402	0	take crunchy cereal
403	0	press east wall
404	0	examine slip
405	0	sit on carpet
406	0	take bread
407	0	thank gnome
408	0	read twisted
409	0	examine wight
410	0	learn urbzig
411	0	x label
412	0	drop cup
413	0	drop wire
414	0	get embers
415	0	eat fruit
416	0	x pedestal
417	0	put beam across doorway
418	0	take mouse
419	0	lie in tiny little bed
420	0	strike rod of bronze
421	0	rewind tape
422	0	douse candles
423	0	blast
424	0	move barrel
