ID	LABEL	TEXT
0	12	push demeter northwest
1	32	get sapphire
2	30	play syrinx
3	32	get alpha
4	13	pull flower
5	3	look through astrolabe
6	38	break cabinet
7	32	get treatise
8	32	get teapot, mat, letter opener, matchbook and paper
9	32	get drill
10	32	get all from coffin
11	77	x bay
12	32	take key
13	32	get plotter
14	77	examine compressor
15	22	ask for mycroft holmes
16	12	push piano east
17	41	n
18	56	throw book at outcrop
19	6	kill eranti
20	82	give ekmek to andromeda
21	35	search thicket
22	50	dungeon master, wait
23	77	examine pram
24	82	give note to man
25	52	drop rusty knife
26	77	examine searchlight
27	24	press black
28	32	get pouch
29	23	open outer
30	54	climb out of pipe
31	51	cut flower
32	77	examine skeleton
33	69	sit in tiny little chair
34	12	push button 3
35	63	touch table
36	32	get towel
37	15	put it on henry's tomb
38	32	get ladder
39	32	get eggs
40	39	unlock door with wrought iron key
41	25	ask charles about chest
42	77	x dispenser
43	77	examine axe
44	59	here kitty kitty
45	13	cheryl, pull rods
46	77	x globe
47	82	give money to hawker
48	32	get black scroll
49	63	touch red
50	78	turn knob
51	32	take capsule
52	77	x pack
53	32	get blue sphere
54	3	look in fountain
55	70	put cave cube in bottom right socket
56	32	get invitation
57	24	press island
58	32	get ampoule
59	39	unlock door with steel key
60	41	s
61	70	put ruby cluster in knapsack
62	32	get garlic
63	3	look at shape
64	27	talk to gnome about mogglev
65	18	fee
66	32	get flippers
67	18	meef vines
68	37	remove fused bedistor with pliers
69	32	get firework
70	66	learn ozmoo
71	23	open navy-blue box
72	20	follow gnome
73	32	get chalice
74	42	get out of bunk
75	52	drop it and pliers
76	70	put clear sphere in diamond stand
77	32	get clear sphere
78	32	get golden chalice
79	32	take kitten
80	77	x brick
81	23	open copier
82	70	put diamond in case
83	32	take beam from eastern niche
84	66	learn snavig
85	77	examine pockets
86	70	put figurine in case
87	21	wear shroud
88	18	gnusto feeyuk
89	52	drop buoy
90	77	x couch
91	70	put scalpel in toolkit
92	52	drop drill
93	52	drop bible
94	32	get rod of returning
95	50	wait for johnny
