ID	LABEL	TEXT
0	9	x female
1	10	take packet from pot
2	10	get peg
3	29	open coffer
4	59	give book to gnome
5	48	drop plans
6	30	hang bucket on third peg
7	27	unlock box 600 with key
8	57	learn pulver
9	29	open telescope
10	10	get cube
11	17	kill skink
12	37	move wardrobe
13	5	rub lamp
14	48	drop all but flashlight
15	29	open claws
16	10	get necklace
17	15	open copier
18	38	slide o
19	10	upload image
20	10	get egg
21	37	move carpet
22	10	turtle, se and get scroll then nw
23	54	cut clingfilm with knife
24	24	drop wig
25	48	drop slip
26	10	get amulet and scroll
27	10	get booklet
28	66	fill pot with water
29	2	close drawer
30	58	pull clean hook
31	10	get on horse
32	2	open trap door
33	48	drop statuette
34	15	adventurer, open door
35	65	x screen
36	10	put worm in fountain
37	65	x bed
38	22	touch obelisk
39	16	push bunk
40	10	put bladder in geyser
41	9	x murals
42	25	shake pack
43	41	remove skis
44	53	buy flashlight and repellent
45	51	show warranty
46	65	x horse
47	9	x transmit stud
48	10	insert interface in nutrimat
49	9	examine compressor
50	2	roll statue se
51	65	examine light
52	65	x stranger
53	10	put coin in zipper
54	57	read note
55	7	put glob on case
56	9	examine cylinder
57	10	take headdress
58	10	get tea
59	57	learn urbzig
60	24	drop card
61	27	unlock box with key
62	3	pull torch
63	10	ask hermit about entrance
64	10	get rod of returning
65	65	x drain
66	9	examine glass case
67	63	look up
68	10	gnusto swanko
69	57	read card
70	10	ask dragon about white
71	10	take off jacket
72	9	x frank
73	65	x tray
74	9	x shelf
75	48	drop blue paper and yellow paper
76	0	wear air tank
77	10	get large key
78	9	examine boulders
79	57	read moldy book
80	2	open lab uniform
81	15	open claws
82	28	learn espnis
83	0	wear spectacles
84	29	open green bottle
85	65	examine safe
86	10	put hand in cauldron
87	33	climb down rope
88	10	get weeds with fork
89	48	drop painting
90	28	read book
91	7	put umbrella on pool
92	16	press up button
93	48	drop rug
94	24	drop wire
95	48	drop flint
96	48	drop egg
97	37	move barrel
98	10	take wings
99	65	x ariana
100	9	x studs
101	63	look through astrolabe
102	48	drop package
103	10	put bauble in case
104	29	open washing machine with poker
105	9	x clock
106	65	x counter
107	63	look at shadow
108	65	note counter
109	24	drop silver
110	27	unlock handcuffs with key
111	28	learn swanko
112	10	foblub man
113	15	open matchbox
114	65	x shaman
115	16	push statue w
116	10	take bronze coin from left pan
117	36	exit scimitar
118	22	touch notch
119	31	push dusty n
120	10	get memo
121	24	turn nephthys
122	0	wear wings
123	15	open window
124	55	sit in cask
125	10	insert violet card in slot
126	21	hit comb
127	16	press island
128	10	take toy
129	2	open bag
130	9	examine dog
131	24	drop birdcage
132	10	look up kebarn in leshosh
133	57	learn tinsot
134	9	x huge statue
135	34	push can against wall
136	9	x flue
137	29	wake homer
138	65	x clingfilm
139	24	drop peridots
140	24	drop stand
141	4	show amulet to michael
142	24	drop bag
143	15	open desk
144	40	turtle, follow me
145	65	examine goblin
146	29	open secret door
147	10	vardik me
148	9	examine safe
149	33	n
150	24	drop pigeon
151	24	drop pearl
152	10	get map
153	10	get arrow
154	16	push piano north
155	57	read white scroll
156	9	x rods
157	9	examine symbols
158	16	press project status stud
159	9	examine it
160	24	drop pile
161	24	slide i
162	4	show ribbon to chuckles
163	48	drop clipper
164	53	2
165	66	cover trapdoor with bearskin rug
166	10	get out of boat
167	29	open briefcase
168	10	ledak painting
169	10	light candle with match
170	24	drop splinter
171	38	slide a
172	34	push knob
173	10	take trunk
174	9	examine cottage
175	28	read blackened
176	10	put yellow powder in kettle
177	25	shake safe
178	36	climb pillar
179	10	pick up cube
180	29	open terminal
181	15	open locket
182	4	show crossbow to dragon
183	57	learn zemdor
184	57	read slip of paper
185	34	push newspaper under door
186	65	examine lump
187	28	read green
188	29	open car
189	65	x shadow
190	34	push wireless north
191	57	read dirty scroll
192	1	lock cabinet with key
193	65	examine rope
194	21	hammer scraps
195	65	x pile
196	39	squeeze it
197	24	drop lump
198	10	nitfol turtle
199	24	drop candle
200	24	drop walkie
201	34	push west wall
202	3	pull breaker
203	10	get crumpled scroll
204	28	read sapphire scratch with glass
205	24	drop dragon and paper
206	29	open closet
207	21	strike returning
208	65	examine post
209	24	turn wheel
210	10	gnusto malyon spell
211	3	pull weed
212	59	give pumpkin to fairy godmother
213	10	put satchel in front of panel
214	26	search foundation
215	10	take log
216	29	open slab
217	48	drop matches
218	2	open wooden door
219	60	dungeon master, wait
220	30	sit in large chair
221	18	wake gnome
222	10	get oil can
223	7	put icicle on lump
224	10	ask doc about syringe
225	10	blow it
226	10	get earth crystal
227	9	examine watch
228	24	drop scarf
229	10	get accordion
230	48	drop all cubes
231	15	open lid with spade
232	4	show blue to trent
233	25	wind watch
234	10	ozmoo myself
235	14	tell gnome about grunk
236	24	drop flashlight
237	10	offer 500
238	27	unlock door with brass key
239	2	open drawer
240	28	learn zemdor
241	7	put oak on table
242	57	read research paper
243	2	open navy-blue box
244	10	feeyuk me
245	66	fill milkbottle with pondwater
246	23	pour wine in green goblet
247	14	say yello
248	29	open crypt
249	16	press east wall
250	26	search seat
251	16	push joystick east
252	61	prick dummy
253	7	put mukhtar on table
254	10	put white in toolkit
255	10	click lpr
256	34	push left button
257	37	move rail with bar
258	13	sleep
259	12	pour coffee in drain
260	29	close roof
261	42	throw club at belt
262	66	douse candles
263	9	examine axe
264	16	press information
265	29	wake gnome
266	9	examine barrels
267	24	drop pump
268	48	lower flag
269	4	show file to district attorney
270	10	take plank
271	10	put opal cluster in knapsack
272	27	unlock compartment
273	10	get all but dagger
274	9	examine key
275	23	pour cold porridge in gigantic bowl
276	48	drop grater
277	10	get pole
278	51	show mouse to elephant
279	9	x left screen
280	22	touch information
281	15	open curtains
282	10	get homing
283	31	push button 1
284	29	open bio-lock door
285	57	read leaflet
286	10	blorple 7
287	55	lie on couch
288	10	extend ladder
289	48	drop coconut
290	10	light flashlight
291	65	examine lever
292	3	pull hose
293	28	learn caskly
294	66	fill tank with air
295	65	x light
296	69	cut blue wire
297	16	press emergency button
298	10	take implementeers
299	29	fill hat with water
300	10	put torch in well
301	10	get nasty knife
302	26	search couch
303	24	drop all except radio
304	14	odysseus
305	28	learn snavig
306	65	examine snooker table
307	32	wave spar
308	10	grab rope
309	48	drop clock
310	2	raise basket
311	24	drop decaf
312	9	x rack
313	16	push dionysus southwest
314	24	drop all cubes
315	10	take shaft
316	28	read dusty scroll
317	10	stop blade
318	10	take radio
319	10	take clock
320	69	cut line with knife
321	24	drop screw
322	28	learn urbzig
323	10	take safe
324	29	close canteen
325	48	drop crampons
326	59	give candy to lizard
327	24	drop finch
328	29	open piano
329	48	drop lantern
330	10	get card
331	48	drop scrawled
332	28	read spotted scroll
333	29	open locket
334	2	open curtain
335	53	buy bag
336	24	slide t
337	10	get off carpet
338	44	remove junk with forklift
339	59	give paper to girl
340	48	drop bladder
341	9	x mushroom
342	51	show crossbow to dragon
343	42	throw rope into chute
344	65	x sketch
345	16	push pram e
346	22	kiss corpse
347	31	push coffin n
348	57	read scroll
349	10	ask dragon about red
350	65	x pool
351	2	open freezer
352	4	show book to gnome
353	29	open west door
354	4	show ruby to pigeon
355	38	roll statue sw
356	24	drop canteen and shuttle card
357	36	climb down rope
358	57	learn snavig
359	10	get container
360	9	x slot
361	65	x pedestal
362	10	get dagger
363	10	gnusto swanzo spell
364	24	turn m
365	37	move cover
366	15	open washing machine with poker
367	59	give opal, ruby, sapphire and emerald to guard
368	48	drop cup
369	41	remove gas mask
370	10	take balloon
371	10	get portrait and bills
372	10	gnusto shiny scroll
373	10	get mail
374	10	turn on stove
375	10	take thumb
376	10	get spray
